Angle, RP
0,0
0.19,0.04
0.38,0.08
0.57,0.11
0.76,0.15
0.95,0.19
1.14,0.23
1.33,0.26
1.52,0.3
1.71,0.34
1.9,0.38
2.09,0.41
2.28,0.45
2.47,0.49
2.66,0.53
2.85,0.57
3.04,0.6
3.23,0.64
3.42,0.68
3.61,0.72
3.8,0.75
3.99,0.79
4.18,0.83
4.37,0.87
4.56,0.91
4.75,0.94
4.94,0.98
5.13,1.02
5.33,1.06
5.52,1.1
5.71,1.13
5.9,1.17
6.09,1.21
6.28,1.25
6.47,1.29
6.66,1.33
6.85,1.36
7.04,1.4
7.23,1.44
7.42,1.48
7.61,1.52
7.8,1.56
7.99,1.6
8.18,1.63
8.37,1.67
8.56,1.71
8.75,1.75
8.94,1.79
9.13,1.83
9.32,1.87
9.51,1.91
9.7,1.95
9.89,1.99
10.08,2.02
10.27,2.06
10.46,2.1
10.65,2.14
10.84,2.18
11.03,2.22
11.22,2.26
11.41,2.3
11.6,2.34
11.79,2.38
11.98,2.42
12.17,2.46
12.36,2.5
12.55,2.54
12.74,2.58
12.93,2.62
13.12,2.66
13.31,2.7
13.5,2.74
13.69,2.79
13.88,2.83
14.07,2.87
14.26,2.91
14.45,2.95
14.64,2.99
14.83,3.03
15.02,3.08
15.21,3.12
15.4,3.16
15.59,3.2
15.79,3.24
15.98,3.29
16.17,3.33
16.36,3.37
16.55,3.42
16.74,3.46
16.93,3.5
17.12,3.55
17.31,3.59
17.5,3.63
17.69,3.68
17.88,3.72
18.07,3.77
18.26,3.81
18.45,3.85
18.64,3.9
18.83,3.94
19.02,3.99
