Angle, RP
0,0
0.4338504533,0.04
0.8674744477,0.08
1.3008860341,0.12
1.7340992636,0.16
2.1671281871,0.2
2.5999868557,0.24
3.0326893202,0.28
3.4652496318,0.32
3.8976818414,0.36
4.33,0.4
4.7622181586,0.44
5.1943503682,0.48
5.6264106798,0.52
6.0584131443,0.56
6.4903718129,0.6
6.9223007364,0.64
7.3542139659,0.68
7.7861255523,0.72
8.2180495467,0.76
8.65,0.8
9.0819869123,0.84
9.5140040795,0.88
9.9460412468,0.92
10.3780881591,0.96
10.8101345614,1
11.2421701988,1.04
11.6741848164,1.08
12.1061681591,1.12
12.5381099719,1.16
12.97,1.2
13.4018341923,1.24
13.8336333137,1.28
14.2654243331,1.32
14.6972342194,1.36
15.1290899416,1.4
15.5610184683,1.44
15.9930467687,1.48
16.4252018115,1.52
16.8575105656,1.56
17.29,1.6
17.7226863186,1.64
18.1555426657,1.68
18.5885314207,1.72
19.0216149632,1.76
19.4547556724,1.8
19.8879159278,1.84
20.3210581089,1.88
20.754144595,1.92
21.1871377656,1.96
21.62,2
22.0527105334,2.04
22.4853160236,2.08
22.9178799839,2.12
23.3504659278,2.16
23.7831373688,2.2
24.2159578203,2.24
24.6489907957,2.28
25.0822998085,2.32
25.5159483721,2.36
25.95,2.4
26.3845015478,2.44
26.8194332401,2.48
27.2547586437,2.52
27.6904413255,2.56
28.1264448523,2.6
28.5627327909,2.64
28.9992687081,2.68
29.4360161708,2.72
29.8729387459,2.76
30.31,2.8
30.7471732755,2.84
31.1844710162,2.88
31.6219154414,2.92
32.0595287703,2.96
32.4973332221,3
32.9353510162,3.04
33.3736043718,3.08
33.8121155081,3.12
34.2509066444,3.16
34.69,3.2
35.1294153502,3.24
35.5691626951,3.28
36.0092495909,3.32
36.4496835935,3.36
36.8904722593,3.4
37.3316231443,3.44
37.7731438048,3.48
38.2150417968,3.52
38.6573246765,3.56
39.1,3.6
39.5430753235,3.64
39.9865582032,3.68
40.4304561952,3.72
40.8747768557,3.76
41.3195277407,3.8
41.7647164065,3.84
42.2103504091,3.88
42.6564373049,3.92
43.1029846498,3.96
43.55,4
