Angle, RP
 0.00, 0.00
 1.13, 0.05
 2.25, 0.10
 3.38, 0.15
 4.51, 0.20
 5.64, 0.25
 6.76, 0.30
 7.89, 0.35
 9.02, 0.40
10.15, 0.45
11.28, 0.50
12.41, 0.55
13.53, 0.60
14.66, 0.65
15.80, 0.70
16.93, 0.75
18.06, 0.80
19.19, 0.85
20.32, 0.90
21.46, 0.95
22.59, 1.00
23.73, 1.05
24.87, 1.10
26.00, 1.15
27.14, 1.20
28.28, 1.25
29.42, 1.30
30.57, 1.35
31.71, 1.40
32.85, 1.45
34.00, 1.50
35.15, 1.55
36.30, 1.60
37.45, 1.65
38.60, 1.70
39.75, 1.75
40.91, 1.80
42.06, 1.85
43.22, 1.90
44.39, 1.95
45.55, 2.00
46.72, 2.05
47.88, 2.10
49.05, 2.15
50.23, 2.20
51.40, 2.25
52.58, 2.30
53.76, 2.35
54.95, 2.40
56.13, 2.45
57.32, 2.50
58.52, 2.55
59.72, 2.60
60.92, 2.65
62.12, 2.70
63.33, 2.75
64.55, 2.80
65.77, 2.85
66.99, 2.90
68.22, 2.95
69.46, 3.00
70.70, 3.05
71.95, 3.10
73.20, 3.15
74.46, 3.20
75.73, 3.25
77.01, 3.30
78.30, 3.35
79.60, 3.40
80.91, 3.45
82.23, 3.50
83.57, 3.55
84.92, 3.60
86.28, 3.65
87.67, 3.70
89.07, 3.75
