Angle, RP
 0.00, 0.00
 1.76, 0.10
 3.51, 0.20
 5.27, 0.30
 7.02, 0.40
 8.77, 0.50
10.52, 0.60
12.27, 0.70
14.03, 0.80
15.78, 0.90
17.55, 1.00
19.31, 1.10
21.09, 1.20
22.87, 1.30
24.66, 1.40
26.47, 1.50
28.28, 1.60
30.11, 1.70
31.96, 1.80
33.81, 1.90
35.68, 2.00
37.57, 2.10
39.48, 2.20
41.40, 2.30
43.35, 2.40
45.32, 2.50
47.32, 2.60
49.35, 2.70
51.42, 2.80
53.53, 2.90
55.69, 3.00
57.91, 3.10
60.19, 3.20
62.55, 3.30
65.00, 3.40
67.55, 3.50
70.22, 3.60
73.04, 3.70
76.05, 3.80
79.32, 3.90
82.97, 4.00
