Angle, RP
0.0, 0.0
0.742, 0.048
1.483, 0.095
2.225, 0.143
2.967, 0.19
3.708, 0.238
4.45, 0.286
5.192, 0.333
5.933, 0.381
6.675, 0.428
7.417, 0.476
8.158, 0.523
8.9, 0.571
9.642, 0.618
10.384, 0.665
11.125, 0.713
11.867, 0.76
12.609, 0.807
13.35, 0.854
14.092, 0.901
14.834, 0.948
15.575, 0.995
16.317, 1.042
17.059, 1.089
17.8, 1.135
18.542, 1.182
19.284, 1.228
20.025, 1.275
20.767, 1.321
21.509, 1.367
22.25, 1.413
22.992, 1.459
23.734, 1.505
24.475, 1.551
25.217, 1.596
25.959, 1.641
26.701, 1.687
27.442, 1.732
28.184, 1.777
28.926, 1.822
29.667, 1.866
30.409, 1.911
31.151, 1.955
31.892, 1.999
32.634, 2.043
33.376, 2.087
34.117, 2.13
34.859, 2.173
35.601, 2.216
36.342, 2.259
37.084, 2.302
37.826, 2.344
38.567, 2.386
39.309, 2.428
40.051, 2.47
40.792, 2.511
41.534, 2.552
42.276, 2.593
43.018, 2.634
43.759, 2.674
44.501, 2.714
45.243, 2.754
45.984, 2.793
46.726, 2.832
47.468, 2.871
48.209, 2.909
48.951, 2.948
49.693, 2.985
50.434, 3.023
51.176, 3.06
51.918, 3.096
52.659, 3.132
53.401, 3.168
54.143, 3.204
54.884, 3.239
55.626, 3.273
56.368, 3.308
57.109, 3.341
57.851, 3.375
58.593, 3.408
59.335, 3.44
60.076, 3.472
60.818, 3.504
61.56, 3.535
62.301, 3.565
63.043, 3.595
63.785, 3.625
64.526, 3.654
65.268, 3.682
66.01, 3.71
66.751, 3.738
67.493, 3.765
68.235, 3.791
68.976, 3.817
69.718, 3.842
70.46, 3.866
71.201, 3.89
71.943, 3.914
72.685, 3.936
73.426, 3.959
74.168, 3.98
